,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.96622676,0.37678638,144.0,1,session_E,22,2,001-2014,tgsp+svm
1,0.9392971,0.3327268,144.0,1,session_T,22,2,001-2014,tgsp+svm
2,0.6588617,0.45364743,144.0,2,session_E,22,2,001-2014,tgsp+svm
3,0.6707483,0.33605257,144.0,2,session_T,22,2,001-2014,tgsp+svm
4,0.98930156,0.39670277,144.0,3,session_E,22,2,001-2014,tgsp+svm
5,0.99733335,0.39806542,144.0,3,session_T,22,2,001-2014,tgsp+svm
6,0.90466666,0.368333,144.0,4,session_E,22,2,001-2014,tgsp+svm
7,0.8435057,0.33552298,144.0,4,session_T,22,2,001-2014,tgsp+svm
8,0.6712834,0.37884265,144.0,5,session_E,22,2,001-2014,tgsp+svm
9,0.52267575,0.3833472,144.0,5,session_T,22,2,001-2014,tgsp+svm
10,0.82408166,0.36339322,144.0,6,session_E,22,2,001-2014,tgsp+svm
11,0.851932,0.34588838,144.0,6,session_T,22,2,001-2014,tgsp+svm
12,0.99298865,0.38455978,144.0,7,session_E,22,2,001-2014,tgsp+svm
13,0.86101586,0.31313962,144.0,7,session_T,22,2,001-2014,tgsp+svm
14,0.9960499,0.3529644,144.0,8,session_E,22,2,001-2014,tgsp+svm
15,0.99285716,0.35143462,144.0,8,session_T,22,2,001-2014,tgsp+svm
16,0.95009524,0.3306454,144.0,9,session_E,22,2,001-2014,tgsp+svm
17,0.8826077,0.36465067,144.0,9,session_T,22,2,001-2014,tgsp+svm
18,0.8340909,0.23260236,119.0,1,session_0,16,3,Zhou 2016,tgsp+svm
19,0.864,0.22286339,100.0,1,session_1,16,3,Zhou 2016,tgsp+svm
20,0.97,0.18097381,100.0,1,session_2,16,3,Zhou 2016,tgsp+svm
21,0.924,0.21316223,100.0,2,session_0,16,3,Zhou 2016,tgsp+svm
22,0.76790124,0.21093822,90.0,2,session_1,16,3,Zhou 2016,tgsp+svm
23,0.894,0.18113366,100.0,2,session_2,16,3,Zhou 2016,tgsp+svm
24,0.984,0.18035659,100.0,3,session_0,16,3,Zhou 2016,tgsp+svm
25,0.974,0.19785318,100.0,3,session_1,16,3,Zhou 2016,tgsp+svm
26,0.994,0.19386658,100.0,3,session_2,16,3,Zhou 2016,tgsp+svm
27,0.95555556,0.16755342,90.0,4,session_0,16,3,Zhou 2016,tgsp+svm
28,0.966,0.21523161,100.0,4,session_1,16,3,Zhou 2016,tgsp+svm
29,0.958,0.18298836,100.0,4,session_2,16,3,Zhou 2016,tgsp+svm
30,0.9506213,0.31643814,144.0,1,session_E,22,2,001-2014,MDM
31,0.9392971,0.3121088,144.0,1,session_T,22,2,001-2014,MDM
32,0.5537869,0.33951002,144.0,2,session_E,22,2,001-2014,MDM
33,0.6488617,0.30566478,144.0,2,session_T,22,2,001-2014,MDM
34,0.98406804,0.44272837,144.0,3,session_E,22,2,001-2014,MDM
35,0.98446256,0.33119383,144.0,3,session_T,22,2,001-2014,MDM
36,0.79748756,0.3416918,144.0,4,session_E,22,2,001-2014,MDM
37,0.76749206,0.30999774,144.0,4,session_T,22,2,001-2014,MDM
38,0.61755556,0.34467474,144.0,5,session_E,22,2,001-2014,MDM
39,0.5744943,0.3337326,144.0,5,session_T,22,2,001-2014,MDM
40,0.66761905,0.3558186,144.0,6,session_E,22,2,001-2014,MDM
41,0.77961,0.35882735,144.0,6,session_T,22,2,001-2014,MDM
42,0.93004537,0.3960104,144.0,7,session_E,22,2,001-2014,MDM
43,0.77368253,0.32195115,144.0,7,session_T,22,2,001-2014,MDM
44,0.9959184,0.3121954,144.0,8,session_E,22,2,001-2014,MDM
45,0.99529254,0.32141003,144.0,8,session_T,22,2,001-2014,MDM
46,0.93867123,0.3122828,144.0,9,session_E,22,2,001-2014,MDM
47,0.80687076,0.332843,144.0,9,session_T,22,2,001-2014,MDM
48,0.7669192,0.24795875,119.0,1,session_0,16,3,Zhou 2016,MDM
49,0.878,0.21165042,100.0,1,session_1,16,3,Zhou 2016,MDM
50,0.938,0.17198142,100.0,1,session_2,16,3,Zhou 2016,MDM
